項目,型,桁,MaxByte,備考
アメダス観測所番号,Text,5,5,
空白,Text,1,1,空白
観測日,Text,8,8,yyyymmdd
空白,Text,1,1,空白
観測時間,Text,4,4,hhmm
空白,Text,1,1,空白
降水量（１分間） mm,Text,3~5,5,nnn.n
空白,Text,1,1,空白
降水量（１分間） 利用フラグ,Text,1~2,2,nn
空白,Text,1,1,空白
風向（前10分間のベクトル平均）,Text,1~3,3,"""C""、”""N""、”NNE""、”NE”、、、"　※"-"は、0.2 m/s以下の場合を表わし、静穏（Calm）を意味する。
空白,Text,1,1,空白
風向 利用フラグ,Text,1~2,2,nn
空白,Text,1,1,空白
風速（１０分平均）m/s,Text,3~5,5,nnn.n
空白,Text,1,1,空白
風速 利用フラグ,Text,1~2,2,nn
空白,Text,1,1,空白
気温,Text,3~5,5,-nn.n ~ nn.n
空白,Text,1,1,空白
気温 利用フラグ,Text,1~2,2,nn
空白,Text,1,1,空白
日照時間 （秒）,Text,1~3,3,nnn
空白,Text,1,1,空白
日照時間 利用フラグ,Text,1~2,2,nn
空白,Text,1,1,空白
積雪の深さ（ｃｍ）,Text,1~4,4,nnnn
空白,Text,1,1,空白
積雪の深さ利用フラグ,Text,1~2,2,nn
空白,Text,1,1,空白
湿度,Text,1~3,3,nnn
空白,Text,1,1,空白
湿度 利用フラグ,Text,1~2,2,nn
改行コード（/LF）,Text,1,1,
