HK情報の内容と観測要素の関係
要素, HK番号, HK内容
雨, 1, 雨量計電源断
雨, 2, 感雨器電源断 
雨, 3, 雨量計ヒータ動作状況 
雨, 4, 雨量計接点不良 
雨, 5, 雨量計入力回路異常 
雨, 6, 入力回路異常（感雨器） 
雨, 7, 感雨自己診断 
雨, 8, 雨量自己診断 
風, 1, 風向電源断 
風, 2, 風速電源断 
風, 3, 風向ビット飛び警告情報
風, 4, 風向ビット計測エラー 
風, 5, 風速パルス計測エラー 
風, 6, 入力回路異常（風向） 
風, 7, 入力回路異常（風速） 
風, 8, 防氷装置電源断 
風, 9, 風向自己診断 
風, 10, 風速自己診断 
風（0.25）, 1, 風向電源断
風（0.25）, 2, 風速電源断 
風（0.25）, 3, 風向ビット飛び警告情報 
風（0.25）, 4, 風向ビット計測エラー 
風（0.25）, 5, 風速パルス計測エラー 
風（0.25）, 6, 入力回路異常（風向） 
風（0.25）, 7, 入力回路異常（風速） 
風（0.25）, 8, 防氷装置電源断 
風（0.25）, 9, 風向自己診断 
風（0.25）, 10, 風速自己診断 
気温, 1, 通風筒電源断 
気温, 2, 変換回路異常 
気温, 3, 測定電圧異常
気温, 4, 温度自己診断 
日照, 1, 日照計1電源断
日照, 2, 日照計2電源断
日照, 3, 日照計1ミラー停止検出
日照, 4, 日照計2ミラー停止検出
日照, 5, 日照計1電源リセット
日照, 6, 日照計2電源リセット
日照, 7, 日照計1接点不良
日照, 8, 日照計2接点不良
日照, 9, 日照計1入力回路異常
日照, 10, 日照計2入力回路異常
日照, 11, 日照計1自己診断
日照, 12, 日照計2自己診断
積雪, 1, 積雪計電源断
積雪, 2, 積雪計通信不良（タイムアウト）
積雪, 3, 積雪計通信不良（フォーマット）
積雪, 4, 積雪計通信不良（受信）
積雪, 5, 人体検知器異常
積雪, 6, レーザ電源異常
積雪, 7, レーザモジュールハードウェア異常
積雪, 8, 積雪計自己診断
湿度, 1, 湿度計電源断
湿度, 2, 湿度計通信不良（タイムアウト）
湿度, 3, 湿度計通信不良（フォーマット）
湿度, 4, 湿度計通信不良（受信）
湿度, 5, 湿度計自己診断

補足：
(1) HK番号は数字の大きいものを上位ビットとしている。例えば、雨量計について、雨量計接点不良かつ雨量計ヒーターOFFの場合は、101000となり、数字は40になる。
(2) -1は欠測をあらわす。
