アメダス10秒値ファイル（2015年3月3日から2021年3月1日）フォーマット
	
収録内容, アメダス10秒値データを1日1地点1ファイルごとに収録
ファイル名, amd_10sec_YYYYMMDD.SSSSS, YYYY：西暦年、MM：月、DD:日、SSSSS：国際地点番号
レコード仕様, 記録形式：バイナリ形式, バイトオーダー：リトルエンディアン
, ソート順序：観測時刻順
, ファイルサイズ：145バイト×6×60×24（1252800バイト）
注意, データを取得できなかった時には、初期値が格納されている。（バイト数1バイト：127、2バイト：32767、4バイト：2147483647）
, 10秒値を利用する場合は以下に留意すること。
, ・ システムの動作状況により値がない場合がある。
, ・ AQC（自動品質管理、https://www.data.jma.go.jp/obd/stats/data/kaisetu/shishin/shishin_3.pdf）を行っていないので不良値が入っている可能性あり。
, ・ 同時刻の値であっても、計算方法（例：瞬間値と1分平均値）の違いにより、時別値等と値が異なることがある。
, ・ 気温は センサー情報をもとに求めたオリジナルの値であり、通常の瞬間値とは異なる（通常の瞬間値は応答特性を考慮し、センサー情報を1分移動平均して求めている）。

観測項目名,バイト数,開始バイト
地点情報,52,1
雨,13,53
風,41,66
気温,5,107
日照,9,112
積雪,5,121
HK,20,126

通し番号,観測項目名,詳細項目,単位,バイト数,開始バイト,備考
1,地点情報,機関番号,,2,1,気象庁による観測は常に１
2,地点情報,観測所番号（上2桁）,,2,3,
3,地点情報,観測所番号（下3桁）,,4,5,
4,地点情報,観測所種別,,2,9,地上気象観測実施地点は0、それ以外は1
5,地点情報,緯度,度+0.1分,4,11,緯度は、度を100倍したものに、分(0.1分単位)を加算し、さらに10倍する。例：42度51.7分-->4251.7値を10倍し42517が入っている
6,地点情報,経度,度+0.1分,4,15,経度は、度を100倍したものに、分(0.1分単位)を加算し、さらに10倍する。例：42度51.7分-->4251.7値を10倍し42517が入っている
7,地点情報,標高,0.1ｍ,2,19,標高は、2000mを加算したものを10倍している。例：2.1mに2000mを加算し、10倍した20021が入っている
8,地点情報,雨量計地上の高さ,0.1ｍ,2,21,
9,地点情報,風光風速計の高さ,0.1ｍ,2,23,
10,地点情報,温度計地上の高さ,0.1ｍ,2,25,
11,地点情報,予備,,2,27,
12,地点情報,全天日射計地上の高さ,,2,29,
13,地点情報,気圧計の高さ,,2,31,
14,地点情報,予備,,2,33,
15,地点情報,予備,,2,35,
16,地点情報,予備,,2,37,
17,地点情報,予備,,2,39,
18,地点情報,年,,2,41,
19,地点情報,月,,2,43,
20,地点情報,日,,2,45,
21,地点情報,時,,2,47,
22,地点情報,分,,2,49,
23,地点情報,秒,,2,51,
24,雨,障害状況識別符,,1,53,
25,雨,前10秒間降水量,0.1mm,4,54,
26,雨,雨量パルス発生時刻,,4,58,
27,雨,感雨データ,,4,62,
28,風,障害状況識別符,,1,66,
29,風,前10秒間CW風向の最大値,度,4,67,風向：地上気象観測実施地点は1度単位（1度～360度）、それ以外は10度単位（10度～360度）で格納されている。
30,風,前10秒間CCW風向の最大値,度,4,71,風向：地上気象観測実施地点は1度単位（1度～360度）、それ以外は10度単位（10度～360度）で格納されている。
31,風,前10秒間最大瞬間風速,0.1m/s,4,75,
32,風,前10秒間最大瞬間風速時の風向,度,4,79,風向：地上気象観測実施地点は1度単位（1度～360度）、それ以外は10度単位（10度～360度）で格納されている。
33,風,前10秒間最小瞬間風速,0.1m/s,4,83,
34,風,前10秒間風向有効データ数,,4,87,
35,風,前10秒間風速有効データ数,,4,91,
36,風,前10秒間風程,,4,95,
37,風,前10秒間積算風向ベクトルX成分,,4,99,ベクトル成分は、有効桁数小数第3位までのものを1000倍し、50000加算してある。例：34.810 -->84810
38,風,前10秒間積算風向ベクトルY成分,,4,103,ベクトル成分は、有効桁数小数第3位までのものを1000倍し、50000加算してある。例：34.810 -->84810
39,気温,障害状況識別符,,1,107,
40,気温,気温データ,0.1℃,4,108,気温は、50を加算し、 10倍したものが入っている。例： 4.4 ℃℃---->544
41,日照,障害状況識別符,,1,112,
42,日照,日照1データ,,4,113,
43,日照,日照2データ,,4,117,
44,積雪,障害状況識別符,,1,130,
45,積雪,雪面までの距離,0.1cm,4,131,
46,HK,雨量HK,,4,219,
47,HK,風HK,,4,223,
48,HK,気温HK,,4,227,
49,HK,日照HK,,4,231,
50,HK,積雪HK,,4,235,
