アメダス1分値ファイル（2008年11月18日から2021年3月1日）フォーマット
	
収録内容, アメダス1分値データを1日1地点1ファイルごとに収録
ファイル名, amd_1min_YYYYMMDD.SSSSS YYYY：西暦年、MM：月、DD:日、SSSSS：国際地点番号
レコード仕様, 記録形式：バイナリ形式, バイトオーダー：リトルエンディアン
, ソート順序：観測時刻順
, ファイルサイズ：171バイト×60×24（246240バイト）
注意, データを取得できなかった時には、初期値が格納されている。（バイト数1バイト：127、2バイト：32767、4バイト：2147483647）
, 障害情報識別符は、当面、未作成0x7F(127)を格納
, 1分値を利用する場合は以下に留意すること。
, ・ AQC（自動品質管理、https://www.data.jma.go.jp/obd/stats/data/kaisetu/shishin/shishin_3.pdf）を行っていないので不良値が入っている可能性あり。

観測項目名,バイト数,開始バイト
地点情報,50,1
雨,35,51
風,61,86
気温,19,147
日照,11,166
予備,13,177
積雪,7,190

通し番号,観測項目名,詳細項目,単位,バイト数,開始バイト,備考
1,地点情報,機関番号,,2,1,気象庁による観測は常に１
2,地点情報,観測所番号（上2桁）,,2,3,
3,地点情報,観測所番号（下3桁）,,4,5,
4,地点情報,観測所種別,,2,9,地上気象観測実施地点は0、それ以外は1
5,地点情報,緯度,度+0.1分,4,11,緯度は、度を100倍したものに、分(0.1分単位)を加算し、さらに10倍する。例：42度51.7分-->4251.7値を10倍し42517が入っている
6,地点情報,経度,度+0.1分,4,15,経度は、度を100倍したものに、分(0.1分単位)を加算し、さらに10倍する。例：42度51.7分-->4251.7値を10倍し42517が入っている
7,地点情報,標高,0.1ｍ,2,19,標高は、2000mを加算したものを10倍している。例：2.1mに2000mを加算し、10倍した20021が入っている
8,地点情報,雨量計地上の高さ,0.1ｍ,2,21,
9,地点情報,風光風速計の高さ,0.1ｍ,2,23,
10,地点情報,温度計地上の高さ,0.1ｍ,2,25,
11,地点情報,日照計地上の高さ,,2,27,
12,地点情報,予備,,2,29,
13,地点情報,予備,,2,31,
14,地点情報,予備,,2,33,
15,地点情報,予備,,2,35,
16,地点情報,予備,,2,37,
17,地点情報,予備,,2,39,
18,地点情報,年,,2,41,
19,地点情報,月,,2,43,
20,地点情報,日,,2,45,
21,地点情報,時,,2,47,
22,地点情報,分,,2,49,
23,雨,障害状況識別符,,1,51,
24,雨,降水積算カウンタ,,4,52,
25,雨,前1分間降水量,0.1mm,4,56,
26,雨,利用フラグ,,1,60,
27,雨,予備,,1,61,
28,雨,降水強度,0.1mm/h,4,62,
29,雨,利用フラグ,,1,66,
30,雨,予備,,1,67,
31,雨,最大降水強度,0.1mm/h,4,68,
32,雨,利用フラグ,,1,72,
33,雨,予備,,1,73,
40,風,障害状況識別符,,1,74,
41,風,CW風向の最大値,度,4,75,
42,風,利用フラグ,,1,79,
43,風,予備,,1,80,
44,風,CCW風向の最大値,度,4,81,
45,風,利用フラグ,,1,85,
46,風,予備,,1,86,
47,風,最大瞬間風速（3秒移動平均）,0.1m/s,4,87,
48,風,利用フラグ,,1,91,
49,風,予備,,1,92,
50,風,最大瞬間風速（3秒移動平均）時の風向（16方位）,,4,93,最大瞬間風速（3 秒移動平均）時の風向（16 方位、36 方位）に、0 が格納されている場合は、風向は欠測
51,風,最大瞬間風速（3秒移動平均）時の風向（36方位）,,4,97,最大瞬間風速（3 秒移動平均）時の風向（16 方位、36 方位）に、0 が格納されている場合は、風向は欠測
52,風,最小瞬間風速（3秒移動平均）,0.1m/s,4,101,
53,風,利用フラグ,,1,105,
54,風,予備,,1,106,
55,風,平均風向（前10分間のベクトル平均）（16方位）,,4,107,
56,風,利用フラグ,,1,111,
57,風,予備,,1,112,
58,風,平均風向（前10分間のベクトル平均）（36方位）,,4,113,
59,風,利用フラグ,,1,117,
60,風,予備,,1,118,
61,風,風程カウンタ,,4,119,
62,風,利用フラグ,,1,123,
63,風,予備,,1,124,
64,風,風程有効データ数,,4,125,
65,風,平均風速（10分移動平均）,0.1m/s,4,129,
66,風,利用フラグ,,1,133,
67,風,予備,,1,134,
68,気温,障害状況識別符,,1,135,
69,気温,気温,0.1℃,4,136,
70,気温,利用フラグ,,1,140,
71,気温,予備,,1,141,
72,気温,最高気温（前1分間）,0.1℃,4,142,
73,気温,利用フラグ,,1,146,
74,気温,予備,,1,147,
75,気温,最低気温(前1分間）,0.1℃,4,148,
76,気温,利用フラグ,,1,152,
77,気温,予備,,1,153,
78,日照,障害状況識別符,,1,154,
79,日照,日照積算カウンタ,,4,155,
80,日照,日照時間,1s,4,159,
81,日照,利用フラグ,,1,163,
82,日照,予備,,1,164,
90,積雪,障害状況識別符,,1,165,
91,積雪,積雪の深さ,（1cm）,4,166,
92,積雪,利用フラグ,,1,170,
93,積雪,予備,,1,171,
