地点番号 観測点の種類（※1） 観測要素_気温 観測要素_降水量 観測要素_風向 観測要素_風速 観測要素_日照時間(※2) 観測要素_積雪深 観測要素_湿度 観測要素_気圧 緯度（[度, 分]） 経度（[度, 分]） 標高（m） 観測所名_漢字 観測所名_カタカタ 観測所名_アルファベット
	※1：Aは管区気象台・地方気象台・沖縄気象台、Bは測候所・特別地域気象観測所（元測候所）、Cは通常のアメダス、Dは父島気象観測所、Eは南鳥島気象観測所、Fは富士山特別気象観測所
	※2：Yevは、観測ではなく推計気象分布に基づく推定値で、2021年3月2日から気象官署・特別地域気象観測所を除く地域気象観測所において提供
11001, C, Y, Y, Y, Y, Yev, N, Y, N, [45,31.2], [141,56.1], 26, 宗谷岬, ソウヤミサキ, Cape Soya
11016, A, Y, Y, Y, Y, Y, Y, Y, Y, [45,24.9], [141,40.7], 3, 稚内, ワッカナイ, Wakkanai
11046, C, Y, Y, Y, Y, Yev, N, Y, N, [45,18.3], [141,2.7], 65, 礼文, レブン, Rebun
11061, C, Y, Y, Y, Y, N, Y, N, N, [45,24.2], [141,48.1], 8, 声問, コエトイ：稚内空港, Koetoi
11076, C, Y, Y, Y, Y, Yev, Y, N, N, [45,20.1], [142,10.2], 13, 浜鬼志別, ハマオニシベツ, Hamaoni-Shibetsu
11091, C, Y, Y, Y, Y, N, N, N, N, [45,14.5], [141,11.2], 30, 本泊, モトドマリ：利尻空港, Motodomari
11121, C, Y, Y, Y, Y, Yev, Y, N, N, [45,14.9], [141,51.1], 23, 沼川, ヌマカワ, Numakawa
11151, C, Y, Y, Y, Y, Yev, N, Y, N, [45,10.7], [141,8.3], 14, 沓形, クツガタ, Kutsugata
11176, C, Y, Y, Y, Y, Yev, Y, N, N, [45,6.1], [141,46.8], 14, 豊富, トヨトミ, Toyotomi
11206, C, Y, Y, Y, Y, Yev, N, N, N, [45,7.5], [142,21.0], 18, 浜頓別, ハマトンベツ, Hamatonbetsu
11276, C, Y, Y, Y, Y, Yev, Y, N, N, [44,57.9], [142,16.8], 25, 中頓別, ナカトンベツ, Nakatonbetsu
11291, B, Y, Y, Y, Y, Y, Y, Y, Y, [44,56.4], [142,35.1], 7, 北見枝幸, キタミエサシ, Kitami-Esashi
