HK情報の内容と観測要素の関係
要素, HK番号, HK内容
雨, 1, 感雨器入力回路異常
雨, 2, 雨量計接点不良
雨, 3, 雨量計電源断
雨, 4, 感雨器電源断
雨, 5, 雨量計入力回路異常
雨, 6, 雨量計ヒータ動作状況
雨, 7, 感雨自己診断
雨, 8, 雨量自己診断
風, 1, 風向電源断
風, 2, 風速電源断
風, 3, 風向ビット飛び警告情報
風, 4, 風向ビット計測エラー
風, 5, 風速パルス計測エラー
風, 6, 入力回路異常（風向）
風, 7, 入力回路異常（風速）
風, 8, 防氷装置電源断
風, 9, 風向自己診断
風, 10, 風速自己診断
風(0.25), 1, 風向電源断
風(0.25), 2, 風速電源断
風(0.25), 3, 風向ビット飛び警告情報
風(0.25), 4, 風向ビット計測エラー
風(0.25), 5, 風速パルス計測エラー
風(0.25), 6, 入力回路異常（風向）
風(0.25), 7, 入力回路異常（風速）
風(0.25), 8, 防氷装置電源断
風(0.25), 9, 風向自己診断
風(0.25), 10, 風速自己診断
気温, 1, 通風筒電源断
気温, 2, 変換回路異常
気温, 3, 測定電圧異常
気温, 4, 温度自己診断
日照, 1, 日照計1電源断
日照, 2, 日照計2電源断
日照, 3, 日照計1ミラー停止検出
日照, 4, 日照計2ミラー停止検出
日照, 5, 日照計1電源リセット
日照, 6, 日照計2電源リセット
日照, 7, 日照計1接点不良
日照, 8, 日照計2接点不良
日照, 9, 日照計1入力回路異常
日照, 10, 日照計2入力回路異常
日照, 11, 日照計1自己診断
日照, 12, 日照計2自己診断
日射, 1, 全天日射1電源断
日射, 2, 全天日射2電源断
日射, 3, 全天日射1ファン電源断
日射, 4, 全天日射2ファン電源断
日射, 5, 全天日射1変換回路異常
日射, 6, 全天日射2変換回路異常
日射, 7, 全天日射1測定電圧異常
日射, 8, 全天日射2測定電圧異常
日射, 9, 全天日射1自己診断
日射, 10, 全天日射2自己診断
積雪, 1, 積雪計電源断
積雪, 2, 積雪計通信不良（タイムアウト）
積雪, 3, 積雪計通信不良（フォーマット）
積雪, 4, 積雪計通信不良（受信）
積雪, 5, 人体検知器異常
積雪, 6, レーザ電源異常
積雪, 7, レーザモジュールハードウェア異常
積雪, 8, 積雪計自己診断
気圧, 1, 気圧計電源断
気圧, 2, 気圧計通信不良（タイムアウト）
気圧, 3, 気圧計通信不良（フォーマット）
気圧, 4, 気圧計通信不良（受信）
気圧, 5, 気圧計自己診断
湿度, 1, 通風筒電源断
湿度, 2, 湿度計電源断
湿度, 3, 湿度計通信不良（タイムアウト）
湿度, 4, 湿度計通信不良（フォーマット）
湿度, 5, 湿度計通信不良（受信）
湿度, 6, 湿度計自己診断
視程, 1, 視程計電源断
視程, 2, 視程計ヒータ動作異常
視程, 3, 視程計機器異常（エラー）
視程, 4, 視程計機器異常（ワーニング）
視程, 5, 視程計通信不良（タイムアウト）
視程, 6, 視程計通信不良（フォーマット）
視程, 7, 視程計通信不良（受信）
視程, 8, 視程計自己診断
装置, 1, 商用電源断
装置, 2, 電源部ヒューズ断
装置, 3, 外部提供直流電源1電圧降下
装置, 4, 外部提供直流電源2電圧降下
装置, 5, 内部提供直流電源1電源降下
装置, 6, 内部提供直流電源2電源降下
装置, 7, 内部提供直流電源3電源降下
装置, 8, バッテリ電圧降下
装置, 9, 過充電保護回路状態
装置, 10, 隔測変換部通信異常
装置, 11, 隔測側商用電源断
装置, 12, 隔測側電源部ヒューズ断
装置, 13, 隔測側内部提供直流電源1電圧降下
装置, 14, 隔測側内部提供直流電源2電圧降下
装置, 15, 隔測側内部提供直流電源3電圧降下
装置, 16, 隔測側バッテリ電圧降下
装置, 17, 隔測側過充電保護回路状態

補足：
(1) HK番号は数字の大きいものを上位ビットとしている。例えば、雨量計について、雨量計接点不良かつ雨量計ヒーターOFFの場合は、00100010となり、数字は34になる。
(2) -1は欠測をあらわす。
