地上気象観測10秒値ファイル（2008 年7月25日～2015年3月2日）フォーマット
	
収録内容, 地上10秒値データを1日1地点1ファイルごとに収録
ファイル名, sfc_10sec_YYYYMMDD.SSSSS YYYY：西暦年、MM：月、DD:日、SSSSS：国際地点番号
レコード仕様, 記録形式：バイナリ形式（バイトオーダー：リトルエンディアン）
, ソート順序：観測時刻順
, ファイルサイズ：26バイト＋178バイト×6×60×24（1537946バイト）
注意, データを取得できなかった時には、初期値が格納されている。（バイト数1バイト：127、2バイト：32767、4バイト：2147483647）
, 10秒値を利用する場合は以下に留意すること。
, ・ システムの動作状況により値がない場合がある。
, ・ AQC（自動品質管理、https://www.data.jma.go.jp/obd/stats/data/kaisetu/shishin/shishin_3.pdf）を行っていないので不良値が入っている可能性あり。
, ・ 同時刻の値であっても、計算方法（例：瞬間値と1分平均値）の違いにより、時別値等と値が異なることがある。
, ・ 気温、湿度（露点）、気圧 は センサー情報をもとに求めたオリジナルの値であり、通常の瞬間値とは異なる（通常の瞬間値は応答特性を考慮し、センサー情報を1分移動平均して求めている）。


観測項目名,バイト数,開始バイト
地点情報,52,1,ファイル中1回のみ

観測項目名,バイト数,開始バイト
雨,13,53
風,64,1
日射,40,65
気温,4,105
日照,2,109
積雪,4,111
気圧,4,115
湿度,4,119
視程,8,123
HK,48,131

通し番号,観測項目名,詳細項目,単位,バイト数,開始バイト,備考
1,地点情報,機関番号,,2,1,気象庁による観測は常に１
2,地点情報,観測所番号（上2桁）,,2,3,
3,地点情報,観測所番号（下3桁）,,4,5,
4,地点情報,観測所種別,,2,9,常に0
5,地点情報,緯度,度+0.1分,4,11,緯度・経度は、度を100倍したものに、分(0.1分単位)を加算し、さらに10倍する。例：42度51.7分-->4251.7値を10倍し42517が入っている
6,地点情報,経度,度+0.1分,4,15,緯度・経度は、度を100倍したものに、分(0.1分単位)を加算し、さらに10倍する。例：42度51.7分-->4251.7値を10倍し42517が入っている
7,地点情報,標高,0.1ｍ,2,19,標高は、2000mを加算したものが入っている
8,地点情報,年,,2,21,
9,地点情報,月,,2,23,
10,地点情報,日,,2,25,

通し番号,観測項目名,詳細項目,単位,バイト数,開始バイト,備考
1,風,CW風向の最大値,度,4,1,風向：1 度単位（ 1度～360度）で格納されている。
2,風,CCW風向の最大値,度,4,5,風向：1 度単位（ 1度～360度）で格納されている。
3,風,10秒間の最大瞬間風速,0.1m/s,4,9,
4,風,10秒間最大瞬間風速時の風向（360度）,度,4,13,風向：1 度単位（ 1度～360度）で格納されている。
5,風,10秒間の最小瞬間風速,0.1m/s,4,17,
6,風,風程カウンタ,,4,21,
7,風,前10秒間積算風向ベクトルX成分,,4,25,
8,風,前10秒間積算風向ベクトルY成分,,4,29,
9,風,CW風向の最大値（0.25秒値処理）,度,4,33,風向：1 度単位（ 1度～360度）で格納されている。
10,風,CCW風向の最大値（0.25秒値処理）,度,4,37,風向：1 度単位（ 1度～360度）で格納されている。
11,風,10秒間の最大瞬間風速（0.25秒値処理）,0.1m/s,4,41,
12,風,10秒間最大瞬間風速時の（0.25秒値処理）風向（360度）,度,4,45,風向：1 度単位（ 1度～360度）で格納されている。
13,風,10秒間の最小瞬間風速（0.25秒値処理）,0.1m/s,4,49,
14,風,風程カウンタ（0.25秒値処理）,,4,53,ベクトル成分は、有効桁数小数第3位までのものを1000倍し、50000加算してある。例：34.810 -->84810
15,風,前10秒間積算風向ベクトルX成分（0.25秒値処理）,,4,57,ベクトル成分は、有効桁数小数第3位までのものを1000倍し、50000加算してある。例：34.810 -->84810
16,風,前10秒間積算風向ベクトルY成分（0.25秒値処理）,,4,61,
17,日射,出力電位,mV,4,65,
18,日射,方位角1,,4,69,
19,日射,高度角1,,4,73,
20,日射,機械温度1,℃,4,77,
21,日射,出力電位2,mV,4,81,
22,日射,方位角2,,4,85,
23,日射,高度角2,,4,89,
24,日射,機械温度2,℃,4,93,
25,日射,前10秒間直達日射量,0.01KJ/m2,4,97,
26,日射,前10秒間全天日射量,0.01KJ/m2,4,101,
27,気温,気温データ,0.1℃,4,105,50を加算し、10倍したもの。例：4.4℃---->544
28,日照,日照1フラグ,,1,109,
29,日照,日照2フラグ,,1,110,
30,積雪,雪面までの距離,0.1cm,4,111,
31,気圧,現地気圧,0.1hPa,4,115,
32,湿度,湿度データ,0.1%,4,119,
33,視程,視程（10分平均）,m,4,123,
34,視程,15分現在天気,,4,127,
35,HK,雨,,4,131,
36,HK,風,,4,135,
37,HK,風（2.5秒値）,,4,139,
38,HK,気温,,4,143,
39,HK,日照,,4,147,
40,HK,日照（特）,,4,151,直達日射計で測定した日射量を求めるための感部電圧値
41,HK,積雪,,4,155,
42,HK,湿度,,4,159,
43,HK,気圧,,4,163,
44,HK,視程,,4,167,
45,HK,日射,,4,171,地上気象観測装置の日射日照計で測定した日射量
46,HK,装置,,4,175,
