地上気象観測1分値ファイル（2008年6月25日以降）フォーマット
	
収録内容, 地上1分値データを1日1地点1ファイルごとに収録
ファイル名, sfc_1min_YYYYMMDD.SSSSS YYYY：西暦年、MM：月、DD:日、SSSSS：国際地点番号
レコード仕様, 記録形式：バイナリ形式（バイトオーダー：リトルエンディアン）
, ソート順序：観測時刻順
, ファイルサイズ：255バイト×60×24（367200バイト）
注意, データを取得できなかった時には、初期値が格納されている。（バイト数1バイト：127、2バイト：32767、4バイト：2147483647）
, 障害情報識別符は、当面、未作成0x7F(127)を格納

観測項目名,バイト数,開始バイト
地点情報,50,1
雨,35,51
風,61,86
気温,19,147
日照,11,166
日射量,13,177
積雪,7,190
気圧,21,197
湿度,25,218
視程,13,243

通し番号,観測項目名,詳細項目,単位,バイト数,開始バイト,備考
1,地点情報,機関番号,,2,1,気象庁による観測は常に１
2,地点情報,観測所番号（上2桁）,,2,3,
3,地点情報,観測所番号（下3桁）,,4,5,
4,地点情報,観測所種別,,2,9,常に0
5,地点情報,緯度,度+0.1分,4,11,緯度・経度は、度を100倍したものに、分(0.1分単位)を加算し、さらに10倍する。例：42度51.7分-->4251.7値を10倍し42517が入っている
6,地点情報,経度,度+0.1分,4,15,
7,地点情報,標高,0.1ｍ,2,19,標高は、2000mを加算したものを10倍している。例：2.1mに2000mを加算し、10倍した20021が入っている
8,地点情報,雨量計地上の高さ,0.1ｍ,2,21,
9,地点情報,風向風速計の高さ,0.1ｍ,2,23,
10,地点情報,温度計地上の高さ,0.1ｍ,2,25,
11,地点情報,日照計地上の高さ,0.1ｍ,2,27,
12,地点情報,全天日射計地上の高さ,0.1ｍ,2,29,
13,地点情報,気圧計の高さ,0.1ｍ,2,31,気圧計の高さは、2000mを加算した値が入っている
14,地点情報,視程計地上の高さ,0.1ｍ,2,33,
15,地点情報,予備,,2,35,
16,地点情報,予備,,2,37,
17,地点情報,予備,,2,39,
18,地点情報,年,,2,41,
19,地点情報,月,,2,43,
20,地点情報,日,,2,45,
21,地点情報,時,,2,47,
22,地点情報,分,,2,49,
23,雨,障害状況識別符,,1,51,
24,雨,降水積算カウンタ,,4,52,
25,雨,前1分間降水量,0.1mm,4,56,
26,雨,利用フラグ,,1,60,
27,雨,予備,,1,61,
28,雨,降水強度,0.1mm/h,4,62,
29,雨,利用フラグ,,1,66,
30,雨,予備,,1,67,
31,雨,最大降水強度,0.1mm/h,4,68,
32,雨,利用フラグ,,1,72,
33,雨,予備,,1,73,
34,雨,降水の有無,,4,74,降水の有無：前 1 分間に降水現象が観測された場合は１、観測されない場合は 0
35,雨,利用フラグ,,1,78,
36,雨,予備,,1,79,
37,雨,降水種別,,4,80,"降水種別： 視程計による観測を行っている 場合は、15 分現在天気表参照、視程計による観測を行っていない
場合は下表"
38,雨,利用フラグ,,1,84,
39,雨,予備,,1,85,
40,風,障害状況識別符,,1,86,
41,風,CW風向の最大値,度,4,87,風向：地上気象観測実施地点は1度単位（1度～360度）、それ以外は10度単位（10度～360度）で格納されている。
42,風,利用フラグ,,1,91,
43,風,予備,,1,92,
44,風,CCW風向の最大値,度,4,93,風向：地上気象観測実施地点は1度単位（1度～360度）、それ以外は10度単位（10度～360度）で格納されている。
45,風,利用フラグ,,1,97,
46,風,予備,,1,98,
47,風,最大瞬間風速（3秒移動平均）,0.1m/s,4,99,最大瞬間風速（3 秒移動平均）時の風向（16 方位、36 方位）に、0 が格納されている場合は、風向は欠測
48,風,利用フラグ,,1,103,
49,風,予備,,1,104,
50,風,最大瞬間風速（3秒移動平均）時の風向（16方位）,,4,105,
51,風,最大瞬間風速（3秒移動平均）時の風向（36方位）,,4,109,
52,風,最小瞬間風速（3秒移動平均）,0.1m/s,4,113,
53,風,利用フラグ,,1,117,
54,風,予備,,1,118,
55,風,平均風向（前10分間のベクトル平均）（16方位）,,4,119,
56,風,利用フラグ,,1,123,
57,風,予備,,1,124,
58,風,平均風向（前10分間のベクトル平均）（36方位）,,4,125,
59,風,利用フラグ,,1,129,
60,風,予備,,1,130,地上気象観測装置の日射日照計で測定した日射量
61,風,風程カウンタ,,4,131,
62,風,利用フラグ,,1,135,
63,風,予備,,1,136,
64,風,風程有効データ数,,4,137,
65,風,平均風速（10分移動平均）,0.1m/s,4,141,
66,風,利用フラグ,,1,145,
67,風,予備,,1,146,
68,気温,障害状況識別符,,1,147,
69,気温,気温,0.1℃,4,148,
