観測地点番号, 区分, 地点名_漢字, 地点名_カタカナ, 都道府県名, 市町村区名, 施設名
47401, 札幌, 稚内, ワッカナイ, 北海道, 稚内市, 稚内地方気象台
47402, 札幌, 北見枝幸, キタミエサシ, 北海道, 枝幸郡枝幸町, 北見枝幸特別地域気象観測所
47404, 札幌, 羽幌, ハボロ, 北海道, 苫前郡羽幌町, 羽幌特別地域気象観測所
47405, 札幌, 雄武, オウム, 北海道, 紋別郡雄武町, 雄武特別地域気象観測所
47406, 札幌, 留萌, ルモイ, 北海道, 留萌市, 留萌特別地域気象観測所
47407, 札幌, 旭川, アサヒカワ, 北海道, 旭川市, 旭川地方気象台
47409, 札幌, 網走, アバシリ, 北海道, 網走市, 網走地方気象台
47411, 札幌, 小樽, オタル, 北海道, 小樽市, 小樽特別地域気象観測所
47412, 札幌, 札幌, サッポロ, 北海道, 札幌市中央区, 札幌管区気象台
47413, 札幌, 岩見沢, イワミザワ, 北海道, 岩見沢市, 岩見沢特別地域気象観測所
47417, 札幌, 帯広, オビヒロ, 北海道, 帯広市, 帯広測候所
47418, 札幌, 釧路, クシロ, 北海道, 釧路市, 釧路地方気象台
47420, 札幌, 根室, ネムロ, 北海道, 根室市, 根室特別地域気象観測所
47421, 札幌, 寿都, スッツ, 北海道, 寿都郡寿都町, 寿都特別地域気象観測所
47423, 札幌, 室蘭, ムロラン, 北海道, 室蘭市, 室蘭地方気象台
47424, 札幌, 苫小牧, トマコマイ, 北海道, 苫小牧市, 苫小牧特別地域気象観測所
47426, 札幌, 浦河, ウラカワ, 北海道, 浦河郡浦河町, 浦河特別地域気象観測所
47428, 札幌, 江差, エサシ, 北海道, 檜山郡江差町, 江差特別地域気象観測所
47430, 札幌, 函館, ハコダテ, 北海道, 函館市, 函館地方気象台
47433, 札幌, 倶知安, クッチャン, 北海道, 虻田郡倶知安町, 倶知安特別地域気象観測所
47435, 札幌, 紋別, モンベツ, 北海道, 紋別市, 紋別特別地域気象観測所
47440, 札幌, 広尾, ヒロオ, 北海道, 広尾郡広尾町, 広尾特別地域気象観測所
47512, 仙台, 大船渡, オオフナト, 岩手県, 大船渡市, 大船渡特別地域気象観測所
47520, 仙台, 新庄, シンジョウ, 山形県, 新庄市, 新庄特別地域気象観測所
47570, 仙台, 若松, ワカマツ, 福島県, 会津若松市, 若松特別地域気象観測所
47574, 仙台, 深浦, フカウラ, 青森県, 西津軽郡深浦町, 深浦特別地域気象観測所
47575, 仙台, 青森, アオモリ, 青森県, 青森市, 青森地方気象台
