コード, 自動気象観測所の現在天気
0, 重要な天気が観測されない。
4, 煙霧又は煙、又はちりが浮遊している（視程1km以上）
5, 煙霧又は煙、又はちりが浮遊している（視程1km未満）
10, もや
20, 霧があった
21, 降水があった
22, 霧雨又は霧雪（snow grains）があった
23, 雨があった
24, 雪があった
25, 着氷性の霧雨(freezing drizzle)又は着氷性の雨(freezing rain)があった
30, 霧
31, ところどころ濃霧又は氷霧
32, 霧又は氷霧、観測時前1時間内にうすくなった
33, 霧又は氷霧、観測時前1時間内に変化はなかった
34, 霧又は氷霧、観測時前1時間内に始まった又は濃くなった
40, 降水
41, 降水、弱又は並
42, 降水、強
50, 霧雨
51, 霧雨、弱
52, 霧雨、並
53, 霧雨、強
54, 着氷性の霧雨(freezing drizzle)、弱
55, 着氷性の霧雨(freezing drizzle)、並
56, 着氷性の霧雨(freezing drizzle)、強
60, 雨
61, 雨、弱
62, 雨、並
63, 雨、強
64, 着氷性の雨(freezing rain)、弱
65, 着氷性の雨(freezing rain)、並
66, 着氷性の雨(freezing rain)、強
67, みぞれ又は霧雨と雪、弱
68, みぞれ又は霧雨と雪、並又は強
70, 雪
71, 雪、弱
72, 雪、並
73, 雪、強
80, しゅう雨性の降水
81, しゅう雨、弱
82, しゅう雨、並
83, しゅう雨、強
84, しゅう雨、激しい
85, しゅう雪、弱
86, しゅう雪、並
87, しゅう雪、強
89, ひょう(hail)

※15分現在天気表は、自動観測のみ格納

