Serial Number,Observation element,Detailed Item,Unit,Bytes,Start Byte,Japanese,Remarks
0,Information of station,Institution number,,2,0,機関番号,Observations by JMA are always 1
1,Information of station,Station number (upper 2 digits),,2,2,観測所番号（上2桁）,
2,Information of station,Station number (last 3 digits),,4,4,観測所番号（下3桁）,
3,Information of station,Station type,,2,8,観測所種別,"0 for Surface meteorological observation stations, 1 for all other stations."
4,Information of station,Latitude,Degree + 0.1 minute,4,10,緯度,"For latitude, multiply degrees by 100, add minutes (to the nearest 0.1 minute), and then multiply by 10. Example: 42 degrees 51.7 minutes is 4251.7 multiplied by 10 and contains 42517."
5,Information of station,Longitude,Degree + 0.1 minute,4,14,経度,"For longitude, multiply degrees by 100, add minutes (to the nearest 0.1 minute), and then multiply by 10. Example: 42 degrees 51.7 minutes is 4251.7 multiplied by 10 and contains 42517."
6,Information of station,Elevation,0.1m,2,18,標高,Elevation is 2000m added and multiplied by 10. Example: 2.1m plus 2000m multiplied by 10 gives 20021
7,Information of station,Height above ground of rain gauge,0.1m,2,20,雨量計地上の高さ,
8,Information of station,Height above ground of anemometer,0.1m,2,22,風向風速計の高さ,
9,Information of station,Height above ground of thermometers,0.1m,2,24,温度計地上の高さ,
10,Information of station,Height above ground of daylight meter,0.1m,2,26,日照計地上の高さ,
11,Information of station,Reserve,,2,28,予備,
12,Information of station,Reserve,,2,30,予備,
13,Information of station,Reserve,,2,32,予備,
14,Information of station,Reserve,,2,34,予備,
15,Information of station,Reserve,,2,36,予備,
16,Information of station,Reserve,,2,38,予備,
17,Information of station,Year,,2,40,年,
18,Information of station,Month,,2,42,月,
19,Information of station,Day,,2,44,日,
20,Information of station,hour,,2,46,時,
21,Information of station,minute,,2,48,分,
22,Rain,Fault condition identifier,,1,50,障害状況識別符,
23,Rain,Precipitation total counter,,4,51,降水積算カウンタ,
24,Rain,Precipitation in last minute,0.1mm,4,55,前1分間降水量,
25,Rain,Usage flag,,1,59,利用フラグ,
26,Rain,Reserve,,1,60,予備,
27,Rain,Precipitation intensity,0.1mm/h,4,61,降水強度,
28,Rain,Usage flag,,1,65,利用フラグ,
29,Rain,Reserve,,1,66,予備,
30,Rain,Maximum intensity of precipitation,0.1mm/h,4,67,最大降水強度,
31,Rain,Usage flag,,1,71,利用フラグ,
32,Rain,Reserve,,1,72,予備,
33,Wind,Fault condition identifier,,1,73,障害状況識別符,
34,Wind,CW maximum wind direction,Degree,4,74,CW風向の最大値,
35,Wind,Usage flag,,1,78,利用フラグ,
36,Wind,Reserve,,1,79,予備,
37,Wind,CCW maximum wind direction,Degree,4,80,CCW風向の最大値,
38,Wind,Usage flag,,1,84,利用フラグ,
39,Wind,Reserve,,1,85,予備,
40,Wind,Maximum instantaneous wind speed (3sec moving average),0.1m/s,4,86,最大瞬間風速（3秒移動平均）,
41,Wind,Usage flag,,1,90,利用フラグ,
42,Wind,Reserve,,1,91,予備,
43,Wind,Wind direction (16 azimuths) at maximum instantaneous wind speed (3-second moving average),,4,92,最大瞬間風速（3秒移動平均）時の風向（16方位）,"If 0 is stored here, the wind direction is missing."
44,Wind,Wind direction (36 directions) at maximum instantaneous wind speed (3-second moving average),,4,96,最大瞬間風速（3秒移動平均）時の風向（36方位）,"If 0 is stored here, the wind direction is missing."
45,Wind,Minimum instantaneous wind speed (3sec moving average),0.1 m/s,4,100,最小瞬間風速（3秒移動平均）,
46,Wind,Usage flag,,1,104,利用フラグ,
47,Wind,Reserve,,1,105,予備,
48,Wind,Average wind direction (vector average of the last 10 minutes) (16 directions),,4,106,平均風向（前10分間のベクトル平均）（16方位）,
49,Wind,Usage flag,,1,110,利用フラグ,
50,Wind,Reserve,,1,111,予備,
51,Wind,Average wind direction (vector average of the last 10 minutes) (36 azimuths),,4,112,平均風向（前10分間のベクトル平均）（36方位）,
52,Wind,Usage flag,,1,116,利用フラグ,
53,Wind,Reserve,,1,117,予備,
54,Wind,Wind run counter,,4,118,風程カウンタ,
55,Wind,Usage flag,,1,122,利用フラグ,
56,Wind,Reserve,,1,123,予備,
57,Wind,Number of valid data for wind run,,4,124,風程有効データ数,
58,Wind,Average wind speed (10-minute moving average),0.1m/s,4,128,平均風速（10分移動平均）,
59,Wind,Usage flag,,1,132,利用フラグ,
60,Wind,Reserve,,1,133,予備,
61,Temperature,Fault condition identifier,,1,134,障害状況識別符,
62,Temperature,Temperature,0.1℃,4,135,気温,
63,Temperature,Usage flag,,1,139,利用フラグ,
64,Temperature,Reserve,,1,140,予備,
65,Temperature,Maximum temperature (last minute),0.1℃,4,141,最高気温（前1分間）,
66,Temperature,Usage flag,,1,145,利用フラグ,
67,Temperature,Reserve,,1,146,予備,
68,Temperature,Minimum temperature (last minute),0.1℃,4,147,最低気温(前1分間）,
69,Temperature,Usage flag,,1,151,利用フラグ,
70,Temperature,Reserve,,1,152,予備,
71,Sunshine,Fault condition identifier,,1,153,障害状況識別符,
72,Sunshine,Sunshine accumulation counter,,4,154,日照積算カウンタ,
73,Sunshine,Sunshine Duration,1s,4,158,日照時間,
74,Sunshine,Usage flag,,1,162,利用フラグ,
75,Sunshine,Reserve,,1,163,予備,
76,Snow,Fault condition identifier,,1,164,障害状況識別符,
77,Snow,Depth of Snow Cover,(1cm),4,165,積雪の深さ,
78,Snow,Usage flag,,1,169,利用フラグ,
79,Snow,Reserve,,1,170,予備,
