Serial Number,Observation element,Detailed Item,Unit,Bytes,Start Byte,Japanese,Remarks
0,Information of station,Institution number,,2,0,機関番号,Observations by JMA are always 1
1,Information of station,Station number (upper 2 digits),,2,2,観測所番号（上2桁）,
2,Information of station,Station number (last 3 digits),,4,4,観測所番号（下3桁）,
3,Information of station,Station type,,2,8,観測所種別,"0 for Surface meteorological observation stations, 1 for all other stations."
4,Information of station,Latitude,Degree + 0.1 minute,4,10,緯度,"For latitude, multiply degrees by 100, add minutes (to the nearest 0.1 minute), and then multiply by 10. Example: 42 degrees 51.7 minutes is 4251.7 multiplied by 10 and contains 42517."
5,Information of station,Longitude,Degree + 0.1 minute,4,14,経度,"For longitude, multiply degrees by 100, add minutes (to the nearest 0.1 minute), and then multiply by 10. Example: 42 degrees 51.7 minutes is 4251.7 multiplied by 10 and contains 42517."
6,Information of station,Elevation,0.1m,2,18,標高,Elevation is 2000m added and multiplied by 10. Example: 2.1m plus 2000m multiplied by 10 gives 20021
7,Information of station,Height above ground of rain gauge,0.1m,2,20,雨量計地上の高さ,
8,Information of station,Height above ground of anemometer,0.1m,2,22,風向風速計の高さ,
9,Information of station,Height above ground of thermometers,0.1m,2,24,温度計地上の高さ,
10,Information of station,Reserve,,2,26,予備,
11,Information of station,Reserve,,2,28,予備,
12,Information of station,Reserve,,2,30,予備,
13,Information of station,Reserve,,2,32,予備,
14,Information of station,Reserve,,2,34,予備,
15,Information of station,Reserve,,2,36,予備,
16,Information of station,Reserve,,2,38,予備,
17,Information of station,Year,,2,40,年,
18,Information of station,Month,,2,42,月,
19,Information of station,Day,,2,44,日,
20,Information of station,hour,,2,46,時,
21,Information of station,minute,,2,48,分,
22,Information of station,second,,2,50,秒,
23,Rain,Fault condition identifier,,1,52,障害状況識別符,
24,Rain,Precipitation in the last 10 seconds,,4,53,前10秒間降水量,0.1mm
25,Rain,Time of rainfall pulse,,4,57,雨量パルス発生時刻,
26,Rain,rain-sensitive data,,4,61,感雨データ,
27,Wind (3-second average),Fault condition identifier,,1,65,障害状況識別符,
28,Wind (3-second average),Maximum value of CW wind direction in last 10 seconds,Degree,4,66,前10秒間CW風向の最大値,Surface meteorological observation points are stored in 1-degree increments (1 degree to 360 degrees). Other points are stored in units of 10 degrees (10 to 360 degrees).
29,Wind (3-second average),Maximum value of CCW wind direction in last 10 seconds,Degree,4,70,前10秒間CCW風向の最大値,Surface meteorological observation points are stored in 1-degree increments (1 degree to 360 degrees). Other points are stored in units of 10 degrees (10 to 360 degrees).
30,Wind (3-second average),Maximum instantaneous wind speed in the last 10 seconds,0.1m/s,4,74,前10秒間最大瞬間風速,
31,Wind (3-second average),Wind direction at the maximum instantaneous wind speed in the last 10 seconds,Degree,4,78,前10秒間最大瞬間風速時の風向,Surface meteorological observation points are stored in 1-degree increments (1 degree to 360 degrees). Other points are stored in units of 10 degrees (10 to 360 degrees).
32,Wind (3-second average),Minimum value of CW wind direction in the last 10 seconds,0.1m/s,4,82,前10秒間最小瞬間風速,
33,Wind (3-second average),Number of valid data of wind direction in the last 10 seconds,,4,86,前10秒間風向有効データ数,
34,Wind (3-second average),Number of valid data of wind speed in the last 10 seconds,,4,90,前10秒間風速有効データ数,
35,Wind (3-second average),Wind run in the last 10 seconds,,4,94,前10秒間風程,
36,Wind (3-second average),Wind direction vector X component in the last 10 seconds,,4,98,前10秒間積算風向ベクトルX成分,Vector components are multiplied by 1000 to the third decimal place of the significant digits
37,Wind (3-second average),Wind direction vector Y component in the last 10 seconds,,4,102,前10秒間積算風向ベクトルY成分,Vector components are multiplied by 1000 to the third decimal place of the significant digits
38,Temperature,Fault condition identifier,,1,106,障害状況識別符,
39,Temperature,Temperature,0.1℃,4,107,気温データ,Temperatures are added to 50 and multiplied by 10. Example: 4.4 °C ---->544
40,Sunshine,Fault condition identifier,,1,111,障害状況識別符,
41,Sunshine,Sunshine 1 data,,4,112,日照1データ,
42,Sunshine,Sunshine 2 data,,4,116,日照2データ,
43,Snow,Fault condition identifier,,1,120,障害状況識別符,
44,Snow,Distance to snow surface,0.1cm,4,121,雪面までの距離,
45,HK,Rainfall HK,,4,125,雨量HK,
46,HK,Wind HK,,4,129,風HK,
47,HK,Temperature HK,,4,133,気温HK,
48,HK,Sunshine HK,,4,137,日照HK,
49,HK,Snow HK,,4,141,積雪HK,
