Column Number, Variable Name / Output Data Name (English), Output Data Name, Unit, Type, Length, Bytes, Remarks
1, amedas_station_number, AMEDAS Observation Station Number (5 digits), , Text, 5, 6, nnnnn
2, surface_station_number, Surface Observation Station Number (5 digits), , Text, 5, 6, nnnnn
3, station_type, Observation Station Type, , Text, 1, 2, n
4, latitude_d, Latitude (degrees), Degrees, Text, 2-3, 4, nnn
5, latitude_m, Latitude (minutes), Minutes, Text, 3-4, 4, nn.n
6, longitude_d, Longitude (degrees), Degrees, Text, 3, 4, nnn
7, longitude_m, Longitude (minutes), Minutes, Text, 3-4, 4, nn.n
8, elevation, Elevation, 0.1m, Text, 3-6, 2, nnnn.n
9, height_above_ground_of_rain_gauge, Height above ground of rain gauge, 0.1m, Text, 3-6, 2, nnnn.n
10, height_above_ground_of_anemometer, Height above ground of anemometer, 0.1m, Text, 3-6, 2, nnnn.n
11, height_above_ground_of_thermometers, Height above ground of thermometers, 0.1m, Text, 3-6, 2, nnnn.n
12, height_above_ground_of_daylight_meter, Height above ground of daylight meter, 0.1m, Text, 3-6, 2, nnnn.n
13, height_above_ground_of_allsky_pyranometer, Height above ground of all-sky pyranometer, 0.1m, Text, 3-6, 2, nnnn.n
14, height_above_barometer, Height above barometer, 0.1m, Text, 3-6, 2, nnnn.n
15, height_above_ground_of_visibility_meter, Height above ground of visibility meter, 0.1m, Text, 3-6, 2, nnnn.n
16, date, Observation Date, , Text, 8, 8, yyyymmdd
17, time, Observation Time, , Text, 4, 4, hhmm
18, fault_condition_identifier_rain, Fault Condition Identifier, , Text, 3, 1, "Usually contains 127"
19, precipitation_total_counter, Precipitation Total Counter, mm, Text, 1-3, 4, nnn
20, precipitation_in_last_minute, Precipitation in the last minute, 0.1mm, Text, 3-4, 4, nnn.n
21, usage_flag_20, Usage Flag, , Text, 1-2, 1, nn
22, precipitation_intensity, Precipitation Intensity, 0.1mm/h, Text, 3-4, 4, nnn.n
23, usage_flag_22, Usage Flag, , Text, 1-2, 1, nn
24, maximum_intensity_of_precipitation, Maximum Intensity of Precipitation, 0.1mm/h, Text, 3-4, 4, nnn.n
25, usage_flag_24, Usage Flag, , Text, 1-2, 1, nn
26, presence_of_precipitation, Presence of Precipitation, , Text, 1, 4, "n: 1 if precipitation was observed in the last minute, 0 if not precipitated"
27, usage_flag_26, Usage Flag, , Text, 1-2, 1, nn
28, type_of_precipitation, Type of Precipitation, , Text, 1-2, 4, "If observation by visibility meter is conducted, refer to the 88th value of the 15-minute current weather. The corresponding table is '03-04_weather_chart.csv'. If observation by visibility meter is not conducted, the data is recorded, and the corresponding table is '03-04_weather_chart02.csv'."
29, usage_flag_28, Usage Flag, , Text, 1-2, 1, nn
30, fault_condition_identifier_wind, Fault Condition Identifier, , Text, 3, 1, "Usually contains 127"
31, cw_maximum_wind_direction, CW Maximum Wind Direction, Degrees, Text, 1-3, 4, nnn
32, usage_flag_31, Usage Flag, , Text, 1-2, 1, nn
33, ccw_maximum_wind_direction, CCW Maximum Wind Direction, Degrees, Text, 1-3, 4, nnn
34, usage_flag_33, Usage Flag, , Text, 1-2, 1, nn
35, maximum_instantaneous_wind_speed, Maximum Instantaneous Wind Speed (3-second moving average), 0.1m/s, Text, 3-4, 4, nn.n
36, usage_flag_35, Usage Flag, , Text, 1-2, 1, nn
37, wind_direction16, Wind Direction (16 directions) at maximum instantaneous wind speed (3-second moving average), , Text, , 4, """-"" represents less than 0.2 m/s, indicating Calm."
38, wind_direction36, Wind Direction (36 directions) at maximum instantaneous wind speed (3-second moving average), , Text, , 4, """-"" represents less than 0.2 m/s, indicating Calm."
39, minimum_instantaneous_wind_speed, Minimum Instantaneous Wind Speed (3-second moving average), 0.1m/s, Text, , 4, 
40, usage_flag_39, Usage Flag, , Text, 1-2, 1, nn
41, average_wind_direction16, Average Wind Direction (vector average of the last 10 minutes) (16 directions), , Text, , 4, """-"" represents less than 0.2 m/s, indicating Calm."
42, usage_flag_41, Usage Flag, , Text, 1-2, 1, nn
