Code,Current Weather Observed by Automatic Weather Station
0,"No significant weather observed."
4,"Smoke or dust is floating (visibility 1 km or more)"
5,"Smoke or dust is floating (visibility less than 1 km)"
10,"Mist"
20,"There was fog"
21,"There was precipitation"
22,"There was drizzle or snow grains"
23,"There was rain"
24,"There was snow"
25,"There was freezing drizzle or freezing rain"
30,"Fog"
31,"Patchy dense fog or ice fog"
32,"Fog or ice fog, thinned within the last hour of observation"
33,"Fog or ice fog, no change within the last hour of observation"
34,"Fog or ice fog, started or thickened within the last hour of observation"
40,"Precipitation"
41,"Precipitation, weak or moderate"
42,"Precipitation, strong"
50,"Drizzle"
51,"Drizzle, weak"
52,"Drizzle, moderate"
53,"Drizzle, strong"
54,"Freezing drizzle, weak"
55,"Freezing drizzle, moderate"
56,"Freezing drizzle, strong"
60,"Rain"
61,"Rain, weak"
62,"Rain, moderate"
63,"Rain, strong"
64,"Freezing rain, weak"
65,"Freezing rain, moderate"
66,"Freezing rain, strong"
67,"Sleet or drizzle and snow, weak"
68,"Sleet or drizzle and snow, moderate or strong"
70,"Snow"
71,"Snow, weak"
72,"Snow, moderate"
73,"Snow, strong"
80,"Rain Showery precipitation"
81,"Rain showers, weak"
82,"Rain showers, moderate"
83,"Rain showers, strong"
84,"Rain showers, heavy"
85,"Snow showers, weak"
86,"Snow showers, moderate"
87,"Snow showers, strong"
89,"Hail"

* The 15-minute current weather table only contains automatic observations.
* The following URL was used as a reference for the English translation.
	- https://www.ibousai.jp/learn/bskn013.html
	- https://ja.wikipedia.org/wiki/%E9%A9%9F%E9%9B%A8
