#,都府県振興局,アメダス観測所番号,地上観測所観測所番号,種類,観測装置の種類,観測_降水量,観測_気温,観測_風向,観測_風速,観測_相対湿度,観測_日照時間（ESは気象衛星等のデータからの推計値）,観測_降雪の深さ,観測所名_漢字名,観測所名_カタカナ名,観測所名_ローマ字名,観測所名_気象情報等に表記する名称,所在地_住所1,所在地_住所2,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,観測終了年月日,備考1,備考2
#,Prefectural Development Bureau,AMeDAS station number,Surface station station number,Type,Type of Observation Instrument,Observation_Precipitation,Observation_Temperature,Observation_wind_direction,Wind Speed,Relative humidity,Sunshine hours (ES is estimated from meteorological satellite data),Observation_Depth of snowfall,Station name_Kanji,Station name_Katakana,Station name_Roman alphabet,"Station name_Name to be written in meteorological information,etc.",Location_Address1,Location_Address2,Latitude (degree),Latitude (minutes),Longitude(degree),Longitude (minutes),Height above sea level (m),Height of anemometer (m),Height of thermometer (m),Observation start date,Observation end date,Remark 1,Remark 2
1,宗谷,11001,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,宗谷岬,ソウヤミサキ,SOYAMISAKI,稚内市宗谷岬,稚内市宗谷岬,-,45,31.2,141,56.1,26,10.1,1.5,1978.10.30,-,-,-
2,宗谷,11016,47401,官,地上気象観測装置,Y,Y,Y,Y,Y,Y,Y,稚内,ワッカナイ,WAKKANAI,稚内市開運,稚内市開運,稚内地方気象台,45,24.9,141,40.7,3,24.1,-,#1975.4.1,-,11903,-
3,宗谷,11046,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,礼文,レブン,REBUN,礼文町香深,礼文郡礼文町大字香深村トンナイ,-,45,18.3,141,2.7,65,9.9,1.5,2003.10.17,-,-,-
4,宗谷,11061,-,官,地上気象観測装置,Y,Y,Y,Y,Y,N,Y,声問,コエトイ,KOETOI,稚内空港,稚内市大字声問村字声問,稚内航空気象観測所,45,24.2,141,48.1,8,10,-,2003.1.1,-,11904,日照・湿度・気圧を除く
5,宗谷,11076,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,浜鬼志別,ハマオニシベツ,HAMAONISHIBETSU,猿払村浜鬼志別,宗谷郡猿払村浜鬼志別,-,45,20.1,142,10.2,13,6.5,1.5,1978.10.30,-,11900,湿度を除く
6,宗谷,11091,-,官,地上気象観測装置,Y,Y,Y,Y,Y,N,N,本泊,モトドマリ,MOTODOMARI,利尻空港,利尻郡利尻富士町鴛泊字本泊,利尻航空気象観測所,45,14.5,141,11.2,30,10,-,2003.1.1,-,-,日照・湿度・気圧を除く
7,宗谷,11121,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,沼川,ヌマカワ,NUMAKAWA,稚内市沼川,稚内市声問村沼川,-,45,14.9,141,51.1,23,10,1.5,1977.10.20,-,11905,湿度を除く
8,宗谷,11151,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,沓形,クツガタ,KUTSUGATA,利尻町沓形,利尻郡利尻町沓形泉町,-,45,10.7,141,8.3,14,9.9,1.5,#1977.10.24,-,-,-
9,宗谷,11176,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,Y,豊富,トヨトミ,TOYOTOMI,豊富,天塩郡豊富町豊富東2条,-,45,6.1,141,46.8,14,10,1.5,(1975.5.29)1977.10.25,-,11910,湿度を除く
10,宗谷,11206,-,四,有線ロボット気象計,Y,Y,Y,Y,Y,ES,N,浜頓別,ハマトンベツ,HAMATOMBETSU,浜頓別,枝幸郡浜頓別町クッチャロ湖畔,-,45,7.5,142,21,18,10,2.5,#1977.10.19,-,-,湿度を除く
