#,Prefectural Development Bureau,AMeDAS station number,"Surface station station number (in the data,  it has 47 at the beginning)",Type,Type of Observation Instrument,Observation_Precipitation,Observation_Temperature,Observation_wind_direction,Wind Speed,Relative humidity,Sunshine hours (ES is estimated from meteorological satellite data),Observation_Depth of snowfall,Station name_Roman alphabet,Latitude (degree),Latitude (minutes),Longitude(degree),Longitude (minutes),Height above sea level (m),Height of anemometer (m),Height of thermometer (m),Observation start date,Observation end date,Remark 1,Remark 2
1,SOYA,11001,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,SOYAMISAKI,45,31.2,141,56.1,26,10.1,1.5,1978.10.30,-,-,-
2,SOYA,11016,47401,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,WAKKANAI,45,24.9,141,40.7,3,24.1,-,#1975.4.1,-,11903,-
3,SOYA,11046,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,REBUN,45,18.3,141,2.7,65,9.9,1.5,2003.10.17,-,-,-
4,SOYA,11061,-,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,N,Y,KOETOI,45,24.2,141,48.1,8,10,-,2003.1.1,-,11904,日照・湿度・気圧を除く
5,SOYA,11076,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,HAMAONISHIBETSU,45,20.1,142,10.2,13,6.5,1.5,1978.10.30,-,11900,湿度を除く
6,SOYA,11091,-,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,N,N,MOTODOMARI,45,14.5,141,11.2,30,10,-,2003.1.1,-,-,日照・湿度・気圧を除く
7,SOYA,11121,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,NUMAKAWA,45,14.9,141,51.1,23,10,1.5,1977.10.20,-,11905,湿度を除く
8,SOYA,11151,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,KUTSUGATA,45,10.7,141,8.3,14,9.9,1.5,#1977.10.24,-,-,-
9,SOYA,11176,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,TOYOTOMI,45,6.1,141,46.8,14,10,1.5,(1975.5.29)1977.10.25,-,11910,湿度を除く
10,SOYA,11206,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,HAMATOMBETSU,45,7.5,142,21,18,10,2.5,#1977.10.19,-,-,湿度を除く
11,SOYA,11276,-,4,Wired Robot Weather Station,Y,Y,-,Y,Y,ES,Y,NAKATOMBETSU,44,57.9,142,16.8,25,10.2,1.5,(1975.5.28)1977.10.19,-,11915,湿度を除く
12,SOYA,11291,47402,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,KITAMI-ESASHI,44,56.4,142,35.1,7,17.2,-,#1976.1.1,-,11917,-
13,SOYA,11316,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,UTANOBORI,44,50.5,142,28.8,14,10,1.5,#1977.10.25,-,11920,湿度を除く
14,SOYA,13011,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,HORONOBE,45,0.4,141,51.1,5,-,-,2005.11.15,-,-,-
15,KAMIKAWA,12011,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,NAKAGAWA,44,49.7,142,4.6,22,10,1.5,1977.10.19,-,-,湿度を除く
16,KAMIKAWA,12041,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,OTOINEPPU,44,43.6,142,15.9,40,10,1.5,1977.10.17,-,12905,湿度を除く
17,KAMIKAWA,12066,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,OGURUMA,44,36.5,142,17.7,60,-,-,2005.11.9,-,-,-
18,KAMIKAWA,12141,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,BIFUKA,44,28.8,142,20.5,77,10,1.5,#1977.10.6,-,12900,湿度を除く
19,KAMIKAWA,12181,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,NAYORO,44,22.2,142,27.4,89,9.9,1.5,#1976.4.1,-,12910,-
20,KAMIKAWA,12217,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,NISHIFUREN,44,17.7,142,21.5,128,-,-,2005.11.8,-,-,-
21,KAMIKAWA,12231,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,SHIMOKAWA,44,17.7,142,38.2,143,10,2.4,#1977.10.14,-,12925,湿度を除く
22,KAMIKAWA,12256,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,KENBUCHI,44,6.4,142,21.2,138,-,-,2005.11.10,-,-,-
23,KAMIKAWA,12261,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,SHIBETSU,44,11.2,142,25,135,8,1.5,#1977.10.13,-,-,湿度を除く
24,KAMIKAWA,12266,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,ASAHI,44,7.1,142,35.7,225,10,1.5,1977.10.13,-,-,湿度を除く
25,KAMIKAWA,12301,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,WASSAMU,44,1.7,142,24.6,150,10,1.5,1977.10.12,-,12915,湿度を除く
26,KAMIKAWA,12386,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,ETAMBETSU,43,52.2,142,15.6,140,10,3.2,1977.10.11,-,-,湿度を除く
27,KAMIKAWA,12396,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,PIPPU,43,52.2,142,28.2,164,10,2.5,(1975.5.27)1977.10.11,-,-,湿度を除く
28,KAMIKAWA,12411,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,KAMIKAWA,43,50.8,142,45.2,324,10,2.4,#1977.10.12,-,12920,湿度を除く
29,KAMIKAWA,12442,47407,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,Y,Y,ASAHIKAWA,43,45.4,142,22.3,120,47,-,2004.9.9,-,12927,-
30,KAMIKAWA,12451,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,HIGASHIKAWA,43,42.1,142,30.5,215,10,2.2,1977.10.5,-,-,湿度を除く
31,KAMIKAWA,12457,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,MIZUHO,43,44.2,142,38.3,289,-,-,1984.10.8,-,-,-
32,KAMIKAWA,12471,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,Y,SOUNKYO,43,45.2,142,55.8,540,-,-,1975.5.27,-,12930,-
33,KAMIKAWA,12501,-,M,Ground Weather Observation Equipment,Y,Y,Y,Y,Y,N,Y,HIGASHI-KAGURA,43,40.2,142,26.8,211,10,-,2003.1.1,-,12932,日照・湿度・気圧を除く
34,KAMIKAWA,12512,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,CHUBETSU,43,38.6,142,34.9,310,10,1.5,1992.10.9,-,-,湿度を除く
35,KAMIKAWA,12551,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,BIEI,43,35.3,142,29.6,250,10,1.5,(1975.5.28)1977.10.6,-,12935,湿度を除く
36,KAMIKAWA,12596,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,N,KAMIFURANO,43,27.3,142,27.9,220,10,2.1,1977.10.8,-,-,湿度を除く
37,KAMIKAWA,12607,-,R,Wired Robot Rain Gauge,Y,N,N,N,N,N,N,SHIROGANE,43,28.5,142,39,658,-,-,1984.10.8,-,-,-
38,KAMIKAWA,12626,-,4,Wired Robot Weather Station,Y,Y,Y,Y,Y,ES,Y,FURANO,43,20,142,24,174,9.9,1.5,#1976.4.1,-,12940,-
