観測所番号,観測所名（漢字）,観測所名（カナ）,観測所名（ローマ字）,積雪の観測所名（漢字）,積雪の観測所名（カナ）,積雪の観測所名（ローマ字）,観測地点を代表する緯度,観測地点を代表する経度,観測地点を代表する標高,風向風速計の高さ,予備,予備,積雪の観測地点の緯度,積雪の観測地点の経度,積雪の観測地点の標高,降水量の統計の有無,風の統計の有無,気温の統計の有無,日照時間の統計の有無,積雪の統計の有無,予備,湿度の統計の有無,観測開始年月日,観測終了年月日,旧観測所番号,降水量の統計接続,風の統計接続,気温の統計接続,日照時間の統計接続,積雪の深さの統計接続,予備,湿度の統計接続
Station Number,Station Name,Station Name,Station Name,Station Name of Snow,Station Name of Snow,Station Name of Snow,Latitude_Precipitation (degree),Longitude_Precipitation (degree),Altitude_Precipitation (m),Height of Anemometer (m),,,Latitude_Snow (degree),Longitude_Snow (degree),Altitude_Snow (m),Precipitation,Wind Speed,Temperature,Sunshine Duration,Depth of Snow Cover,,Humidity,Start Date,End Date,Old Station Number,Disconnection of Precipitation,Disconnection of Wind Speed,Disconnection of Temperature,Disconnection of Sunshine Duration,Disconnection of Depth of Snow Cover,,Disconnection of Humidity
11001,宗谷岬,ソウヤミサキ,SOYAMISAKI,,,,45.52,141.935,26,8,,,,,,1,1,1,1,0,,0,1978/10/30,1987/5/13,11001,1,1,1,1,1,,1
11001,宗谷岬,ソウヤミサキ,SOYAMISAKI,,,,45.52,141.935,26,8,,,,,,1,1,1,1,0,,0,1987/5/14,2006/10/5,11001,0,0,0,1,0,,0
11001,宗谷岬,ソウヤミサキ,SOYAMISAKI,,,,45.52,141.935,26,8,,,,,,1,1,1,1,0,,0,2006/10/6,2008/9/8,11001,0,0,0,4,0,,0
11001,宗谷岬,ソウヤミサキ,SOYAMISAKI,,,,45.52,141.935,26,8,,,,,,1,1,1,1,0,,0,2008/9/9,2009/10/27,11001,0,4,4,0,0,,0
11001,宗谷岬,ソウヤミサキ,SOYAMISAKI,,,,45.52,141.935,26,10,,,,,,1,1,1,1,0,,0,2009/10/28,2021/3/1,11001,0,0,0,0,0,,0
11001,宗谷岬,ソウヤミサキ,SOYAMISAKI,,,,45.52,141.935,26,10,,,,,,1,1,1,2,0,,0,2021/3/2,2021/3/17,11001,0,0,0,6,0,,0
11001,宗谷岬,ソウヤミサキ,SOYAMISAKI,,,,45.52,141.935,26,10.1,,,,,,1,1,1,2,0,,1,2021/3/18,9999-99-99,11001,0,0,0,0,0,,0
11011,船泊,フナドマリ,FUNADOMARI,,,,45.437,141.035,8,6.5,,,,,,1,1,1,1,0,,0,1977/10/21,1986/11/4,11011,1,1,1,1,1,,1
11011,船泊,フナドマリ,FUNADOMARI,,,,45.437,141.035,8,6.5,,,,,,1,1,1,1,0,,0,1986/11/5,2003/10/16,11011,0,0,0,1,0,,0
11012,幌泊,ホロドマリ,HORODOMARI,,,,45.455,141.038,27,7.3,,,,,,1,1,1,0,0,,0,2003/1/1,2009/1/28,11012,1,1,1,1,1,,1
11012,幌泊,ホロドマリ,HORODOMARI,,,,45.455,141.038,27,7.3,,,,,,1,1,1,0,0,,0,2009/1/29,2009/4/8,11012,0,4,4,0,0,,0
11013,礼文上泊埼,レブンウエドマリサキ,REBUN-UEDOMARISAKI,,,,45.423,141.065,13,,,,,,,1,0,0,0,0,,0,2014/9/4,2014/10/21,11013,1,1,1,1,1,,1
11016,稚内,ワッカナイ,WAKKANAI,,,,45.415,141.678,3,,,,,,,1,0,0,0,0,,0,1974/11/1,1975/3/31,11016,1,1,1,1,1,,1
11016,稚内,ワッカナイ,WAKKANAI,,,,45.415,141.678,3,23.4,,,,,,1,1,1,1,0,,0,1975/4/1,1985/12/31,11016,0,0,0,0,0,,0
11016,稚内,ワッカナイ,WAKKANAI,,,,45.415,141.678,3,23.4,,,,,,1,1,1,1,0,,0,1986/1/1,1999/2/28,11016,0,0,0,1,0,,0
11016,稚内,ワッカナイ,WAKKANAI,稚内,ワッカナイ,WAKKANAI,45.415,141.678,3,23.4,,,45.415,141.678,3,1,1,1,1,1,,0,1999/3/1,2008/3/25,11016,0,0,0,0,0,,0
11016,稚内,ワッカナイ,WAKKANAI,稚内,ワッカナイ,WAKKANAI,45.415,141.678,3,23.4,,,45.415,141.678,3,1,1,1,1,1,,0,2008/3/26,2011/7/27,11016,0,4,4,0,0,,0
11016,稚内,ワッカナイ,WAKKANAI,稚内,ワッカナイ,WAKKANAI,45.415,141.678,3,23.5,,,45.415,141.678,3,1,1,1,1,1,,0,2011/7/28,2021/3/1,11016,0,0,0,0,0,,0
11016,稚内,ワッカナイ,WAKKANAI,稚内,ワッカナイ,WAKKANAI,45.415,141.678,3,23.5,,,45.415,141.678,3,1,1,1,1,1,,1,2021/3/2,2021/3/10,11016,0,0,0,0,0,,0
11016,稚内,ワッカナイ,WAKKANAI,稚内,ワッカナイ,WAKKANAI,45.415,141.678,3,24.1,,,45.415,141.678,3,1,1,1,1,1,,1,2021/3/11,9999-99-99,11016,0,0,0,0,0,,0
11046,礼文,レブン,REBUN,,,,45.305,141.045,65,6.5,,,,,,1,1,1,1,0,,0,2003/10/17,2005/11/2,11046,1,1,1,1,1,,1
11046,礼文,レブン,REBUN,,,,45.305,141.045,65,6.5,,,,,,1,1,1,1,0,,0,2005/11/3,2008/10/23,11046,0,0,0,4,0,,0
11046,礼文,レブン,REBUN,,,,45.305,141.045,65,6.5,,,,,,1,1,1,1,0,,0,2008/10/24,2021/3/1,11046,0,4,4,0,0,,0
