Serial Number,Observation element,Detailed Item,Unit,Bytes,Start Byte,Japanese,Remarks
0,Information of station,Institution number,,2,0,機関番号,Observations by JMA are always 1
1,Information of station,Station number (upper 2 digits),,2,2,観測所番号（上2桁）,
2,Information of station,Station number (last 3 digits),,4,4,観測所番号（下3桁）,
3,Information of station,Station type,,2,8,観測所種別,Always 0
4,Information of station,Latitude,Degree + 0.1 minute,4,10,緯度,"For latitude, multiply degrees by 100, add minutes (to the nearest 0.1 minute), and then multiply by 10. Example: 42 degrees 51.7 minutes is 4251.7 multiplied by 10 and contains 42517."
5,Information of station,Longitude,Degree + 0.1 minute,4,14,経度,"For longitude, multiply degrees by 100, add minutes (to the nearest 0.1 minute), and then multiply by 10. Example: 42 degrees 51.7 minutes is 4251.7 multiplied by 10 and contains 42517."
6,Information of station,Elevation,0.1m,2,18,標高,Elevation is 2000m added and multiplied by 10. Example: 2.1m plus 2000m multiplied by 10 gives 20021
7,Information of station,Height above ground of rain gauge,0.1m,2,20,雨量計地上の高さ,
8,Information of station,Height above ground of anemometer,0.1m,2,22,風向風速計の高さ,
9,Information of station,Height above ground of thermometers,0.1m,2,24,温度計地上の高さ,
10,Information of station,Height above ground of daylight meter,0.1m,2,26,日照計地上の高さ,
11,Information of station,Height above ground of All-sky pyranometer,0.1m,2,28,全天日射計地上の高さ,
12,Information of station,Height above barometer,0.1m,2,30,気圧計の高さ,Barometer is 2000m added and multiplied by 10. Example: 2.1m plus 2000m multiplied by 10 gives 20021
13,Information of station,Height above ground of visibility meter,0.1m,2,32,視程計地上の高さ,
14,Information of station,Reserve,,2,34,予備,
15,Information of station,Reserve,,2,36,予備,
16,Information of station,Reserve,,2,38,予備,
17,Information of station,Year,,2,40,年,
18,Information of station,Month,,2,42,月,
19,Information of station,Day,,2,44,日,
20,Information of station,hour,,2,46,時,
21,Information of station,minute,,2,48,分,
22,Rain,Fault condition identifier,,1,50,障害状況識別符,
23,Rain,Precipitation total counter,,4,51,降水積算カウンタ,
24,Rain,Precipitation in last minute,0.1mm,4,55,前1分間降水量,
25,Rain,Usage flag,,1,59,利用フラグ,
26,Rain,Reserve,,1,60,予備,
27,Rain,Precipitation intensity,0.1mm/h,4,61,降水強度,
28,Rain,Usage flag,,1,65,利用フラグ,
29,Rain,Reserve,,1,66,予備,
30,Rain,Maximum intensity of precipitation,0.1mm/h,4,67,最大降水強度,
31,Rain,Usage flag,,1,71,利用フラグ,
32,Rain,Reserve,,1,72,予備,
33,Rain,Presence of precipitation,,4,73,降水の有無,"1 if precipitation was observed in the last minute, 0 if not precipitated"
34,Rain,Usage flag,,1,77,利用フラグ,
35,Rain,Reserve,,1,78,予備,
36,Rain,Type of precipitation,,4,79,降水種別,"If transmissometer observations are made, see 03-04_weather_chart.csv (15 minute current weather chart). If transmissometer observations are not made, see 03-04_weather_chart02.csv."
37,Rain,Usage flag,,1,83,利用フラグ,
38,Rain,Reserve,,1,84,予備,
39,Wind,Fault condition identifier,,1,85,障害状況識別符,
40,Wind,CW maximum wind direction,Degree,4,86,CW風向の最大値,
41,Wind,Usage flag,,1,90,利用フラグ,
42,Wind,Reserve,,1,91,予備,
43,Wind,CCW maximum wind direction,Degree,4,92,CCW風向の最大値,
44,Wind,Usage flag,,1,96,利用フラグ,
45,Wind,Reserve,,1,97,予備,
46,Wind,Maximum instantaneous wind speed (3sec moving average),0.1m/s,4,98,最大瞬間風速（3秒移動平均）,
47,Wind,Usage flag,,1,102,利用フラグ,
48,Wind,Reserve,,1,103,予備,
49,Wind,Wind direction (16 azimuths) at maximum instantaneous wind speed (3-second moving average),,4,104,最大瞬間風速（3秒移動平均）時の風向（16方位）,"If 0 is stored here, the wind direction is missing."
50,Wind,Wind direction (36 directions) at maximum instantaneous wind speed (3-second moving average),,4,108,最大瞬間風速（3秒移動平均）時の風向（36方位）,"If 0 is stored here, the wind direction is missing."
51,Wind,Minimum instantaneous wind speed (3sec moving average),0.1 m/s,4,112,最小瞬間風速（3秒移動平均）,
52,Wind,Usage flag,,1,116,利用フラグ,
53,Wind,Reserve,,1,117,予備,
54,Wind,Average wind direction (vector average of the last 10 minutes) (16 directions),,4,118,平均風向（前10分間のベクトル平均）（16方位）,
55,Wind,Usage flag,,1,122,利用フラグ,
56,Wind,Reserve,,1,123,予備,
57,Wind,Average wind direction (vector average of the last 10 minutes) (36 azimuths),,4,124,平均風向（前10分間のベクトル平均）（36方位）,
58,Wind,Usage flag,,1,128,利用フラグ,
59,Wind,Reserve,,1,129,予備,
60,Wind,Wind run counter,,4,130,風程カウンタ,
61,Wind,Usage flag,,1,134,利用フラグ,
62,Wind,Reserve,,1,135,予備,
63,Wind,Number of valid data for wind run,,4,136,風程有効データ数,
64,Wind,Average wind speed (10-minute moving average),0.1m/s,4,140,平均風速（10分移動平均）,
65,Wind,Usage flag,,1,144,利用フラグ,
66,Wind,Reserve,,1,145,予備,
67,Temperature,Fault condition identifier,,1,146,障害状況識別符,
68,Temperature,Temperature,0.1℃,4,147,気温,
69,Temperature,Usage flag,,1,151,利用フラグ,
70,Temperature,Reserve,,1,152,予備,
71,Temperature,Maximum temperature (last minute),0.1℃,4,153,最高気温（前1分間）,
72,Temperature,Usage flag,,1,157,利用フラグ,
73,Temperature,Reserve,,1,158,予備,
74,Temperature,Minimum temperature (last minute),0.1℃,4,159,最低気温(前1分間）,
75,Temperature,Usage flag,,1,163,利用フラグ,
76,Temperature,Reserve,,1,164,予備,
77,Sunshine,Fault condition identifier,,1,165,障害状況識別符,
78,Sunshine,Sunshine accumulation counter,,4,166,日照積算カウンタ,
79,Sunshine,Sunshine Duration,1s,4,170,日照時間,
80,Sunshine,Usage flag,,1,174,利用フラグ,
81,Sunshine,Reserve,,1,175,予備,
82,Solar radiation,Fault condition identifier,,1,176,障害状況識別符,
83,Solar radiation,Direct solar radiation,0.01KJ/m2,4,177,直達日射量,
84,Solar radiation,Usage flag,,1,181,利用フラグ,
85,Solar radiation,Reserve,,1,182,予備,
86,Solar radiation,Global solar radiation,0.01KJ/m2,4,183,全天日射量,
87,Solar radiation,Usage flag,,1,187,利用フラグ,
88,Solar radiation,Reserve,,1,188,予備,
89,Snow,Fault condition identifier,,1,189,障害状況識別符,
90,Snow,Depth of Snow Cover,(1cm),4,190,積雪の深さ,
91,Snow,Usage flag,,1,194,利用フラグ,
92,Snow,Reserve,,1,195,予備,
93,Atmospheric pressure,Fault condition identifier,,1,196,障害状況識別符,
94,Atmospheric pressure,Gravitational acceleration,0.0001m/s2,2,197,重力加速度,Gravitational acceleration adds -90000
95,Atmospheric pressure,Local pressure,0.1hPa,4,199,現地気圧,
96,Atmospheric pressure,Usage flag,,1,203,利用フラグ,
97,Atmospheric pressure,Reserve,,1,204,予備,
98,Atmospheric pressure,Sea-level pressure,0.1hPa,4,205,海面気圧,
99,Atmospheric pressure,Usage flag,,1,209,利用フラグ,
100,Atmospheric pressure,Reserve,,1,210,予備,
101,Atmospheric pressure,Minimum sea-level pressure,0.1hPa,4,211,最低海面気圧,
102,Atmospheric pressure,Usage flag,,1,215,利用フラグ,
103,Atmospheric pressure,Reserve,,1,216,予備,
104,Humidity,Fault condition identifier,,1,217,障害状況識別符,
105,Humidity,Relative humidity,%,4,218,相対湿度,
106,Humidity,Usage flag,,1,222,利用フラグ,
107,Humidity,Reserve,,1,223,予備,
108,Humidity,Minimum Relative Humidity,%,4,224,最小相対湿度,
109,Humidity,Usage flag,,1,228,利用フラグ,
110,Humidity,Reserve,,1,229,予備,
111,Humidity,Vapor pressure,0.1hPa,4,230,蒸気圧,
112,Humidity,Usage flag,,1,234,利用フラグ,
113,Humidity,Reserve,,1,235,予備,
114,Humidity,Dew-point temperature,0.1℃,4,236,露点温度,
115,Humidity,Usage flag,,1,240,利用フラグ,
116,Humidity,Reserve,,1,241,予備,
117,Reserve,Fault condition identifier,,1,242,障害状況識別符,
118,Reserve,Range of visibility,0.001km,4,243,視程,
119,Reserve,Usage flag,,1,247,利用フラグ,
120,Reserve,Reserve,,1,248,予備,
121,Reserve,15-minute current weathe,,4,249,15分現在天気,See surf_weather_chart.csv (15-minute current weather chart)
122,Reserve,Usage flag,,1,253,利用フラグ,
123,Reserve,Reserve,,1,254,予備,
