列番号,変数名／出力データ名（英語）,出力データ名,単位,Type,Length,Bytes,Remarks
1,amedas_station_number,アメダス観測所番号（5桁）,,Text,5,6,nnnnn
2,surface_station_number,地上観測所番号（5桁）,,Text,5,6,nnnnn
3,station_type,観測所種別,,Text,1,2,n
4,latitude_d,緯度（度）,度,Text,2～3,4,nnn
5,latitude_m,緯度（分）,分,Text,3～4,4,nn.n
6,longitude_d,経度（度）,度,Text,3,4,nnn
7,longitude_m,経度（分）,分,Text,3～4,4,nn.n
8,elevation,標高,0.1m,Text,3～6,2,nnnn.n
9,height_above_ground_of_rain_gauge,雨量計地上の高さ,0.1m,Text,3～6,2,nnnn.n
10,height_above_ground_of_anemometer,風向風速計の高さ,0.1m,Text,3～6,2,nnnn.n
11,height_above_ground_of_thermometers,温度計地上の高さ,0.1m,Text,3～6,2,nnnn.n
12,height_above_ground_of_daylight_meter,日照計地上の高さ,0.1m,Text,3～6,2,nnnn.n
13,height_above_ground_of_allsky_pyranometer,全天日射計地上の高さ,0.1m,Text,3～6,2,nnnn.n
14,height_above_barometer,気圧計の高さ,0.1m,Text,3～6,2,nnnn.n
15,height_above_ground_of_visibility_meter,視程計地上の高さ,0.1m,Text,3～6,2,nnnn.n
16,date,観測年月日,,Text,8,8,yyyymmdd
17,time,観測時間,,Text,4,4,hhmm
18,fault_condition_identifier_rain,障害状況識別符,,Text,3,1,原則、127が入っている
19,precipitation_total_counter,降水積算カウンタ,mm,Text,1～3,4,nnn
20,precipitation_in_last_minute,前1分間降水量,0.1mm,Text,3～4,4,nnn.n
21,usage_flag_20,利用フラグ,,Text,1～2,1,nn
22,precipitation_intensity,降水強度,0.1mm/h,Text,3～4,4,nnn.n
23,usage_flag_22,利用フラグ,,Text,1～2,1,nn
24,maximum_intensity_of_precipitation,最大降水強度,0.1mm/h,Text,3～4,4,nnn.n
25,usage_flag_24,利用フラグ,,Text,1～2,1,nn
26,presence_of_precipitation,降水の有無,,Text,1,4,"n: 1 if precipitation was observed in the last minute, 0 if not precipitated"
27,usage_flag_26,利用フラグ,,Text,1～2,1,nn
28,type_of_precipitation,降水種別,,Text,1～2,4,視程計による観測を行っている場合は、88番目の15分現在天気の値を参照。対応表は「03-04_weather_chart.csv」となっている。視程計による観測を行っていない場合にデータは記載され、対応表は「03-04_weather_chart02.csv」となっている。
29,usage_flag_28,利用フラグ,,Text,1～2,1,nn
